Tempo;Meio1;Meio2
0;0.0453142788;0.0307336709
0;0.0515059763;0.0366305063
0;0.0578273521;0.0426448456
6;0.255297177;0.190567372
6;0.248462893;0.196197612
6;0.249968306;0.197463168
24;4.63745973;5.3611947
24;4.66825945;5.40039456
24;4.6993767;5.44011022
30;5.12132367;6.08792411
30;5.18323901;6.16065624
30;5.15220196;6.12418064
48;6.11829714;8.09991714
48;6.04449834;8.19697142
48;6.08130752;8.14828824
72;7.30006064;9.18715857
72;7.38729706;9.29936683
72;7.34355278;9.24305413
96;8.88692174;9.38463177
96;8.91372769;9.41326887
96;8.86021068;9.35610294
