Palato;Concentracao;Tempo_5;Tempo_10;Tempo_15;Tempo_20;Tempo_25;Tempo_30;Tempo_35
1;0;1.24;1.21;1.16;1.08;1.08;0.87;
2;0;1.47;0.91;1.21;1.35;1.26;1.18;
3;0;1.14;0.90;0.81;1.00;1.05;0.93;
4;0;0.84;1.02;0.86;0.98;0.98;1.07;
5;0;0.96;1.19;1.33;1.37;1.22;1.41;
6;0;0.84;0.89;0.81;0.84;1.05;0.95;
7;1;1.12;1.22;1.14;1.22;1.46;1.76;1.72
8;1;1.07;1.36;1.49;1.49;1.46;1.39;1.46
9;1;0.84;0.75;0.58;0.59;0.52;0.43;0.57
10;1;1.77;1.28;1.32;1.53;1.30;1.32;1.44
11;1;0.92;1.16;1.06;1.28;0.97;1.28;1.24
12;1;1.27;1.42;1.45;1.59;1.55;1.42;1.53
13;1;1.05;1.09;0.98;1.28;0.98;1.30;1.33
14;1;0.88;1.02;0.82;0.74;0.75;0.75;0.71
15;1;1.13;1.24;1.13;1.10;1.17;0.86;1.06
16;1;0.89;0.84;0.93;1.02;0.93;0.89;0.86
17;8;0.81;1.18;0.99;1.08;1.00;1.09;1.09
18;8;1.69;1.62;1.36;1.60;2.00;1.60;1.86
19;8;0.89;0.85;0.88;0.82;0.95;1.09;1.18
20;8;1.10;1.57;1.32;1.56;1.83;1.83;1.86
21;8;1.84;2.36;2.25;2.25;2.05;2.08;2.13
22;8;1.25;1.22;0.88;0.73;0.66;0.58;0.57
23;8;0.90;1.05;0.90;0.88;0.86;0.85;0.92
24;8;1.12;1.06;0.99;0.92;0.91;1.01;1.00
25;8;1.43;1.25;1.19;1.12;1.13;1.12;1.18
26;8;1.26;1.24;1.20;1.13;1.03;1.08;1.13
27;16;0.88;0.73;0.61;0.58;0.61;0.48;0.52
28;16;0.87;0.69;0.50;0.42;0.38;0.38;0.44
29;16;1.43;0.98;0.70;0.54;0.43;0.41;0.43
30;16;1.30;1.00;0.67;0.68;0.53;0.67;0.62
31;16;0.92;0.86;0.88;0.85;0.79;0.66;0.82
32;16;1.21;1.01;0.75;0.79;0.69;0.70;0.82
33;16;0.68;0.86;0.86;0.59;0.57;0.61;0.66
34;16;0.75;0.74;0.96;0.87;1.00;0.90;1.14
35;16;0.97;0.84;0.71;0.83;0.67;0.73;0.72
36;16;1.08;1.12;0.86;1.02;0.85;0.90;0.89
37;32;0.97;0.67;0.49;0.46;0.38;0.35;0.29
38;32;0.60;0.54;0.71;0.33;0.29;0.27;0.36
39;32;1.37;0.83;0.65;0.56;0.41;0.35;0.40
40;32;1.45;1.43;0.99;0.92;0.58;0.51;0.46
41;32;0.92;0.58;0.39;0.24;0.23;0.29;0.23
42;32;1.12;0.96;0.80;0.71;0.80;0.90;1.00
43;32;0.79;0.84;0.75;0.69;0.53;0.53;0.65
44;32;1.02;1.08;0.92;0.79;0.64;0.62;0.57
45;32;0.83;0.66;0.55;0.54;0.48;0.45;0.54
46;32;0.72;0.48;0.63;0.57;0.63;0.53;0.54
47;64;0.12;0.09;0.22;0.11;0.16;0.11;0.09
48;64;0.48;0.48;0.48;0.41;0.33;0.39;0.30
49;64;0.20;0.47;0.27;0.34;0.26;0.30;0.44
50;64;0.79;0.74;0.86;0.63;0.67;0.86;0.92
51;64;0.38;0.66;0.94;0.84;0.82;0.88;0.89
52;64;0.94;0.84;0.64;0.53;0.48;0.50;0.50
53;64;0.17;0.54;0.67;0.66;0.66;0.81;0.96
54;64;0.96;1.01;1.23;0.93;0.87;0.81;0.81
55;64;0.62;0.90;0.81;0.86;0.66;0.84;0.78
56;64;0.23;0.40;0.25;0.16;0.27;0.27;0.47
