Tempo;Meio1;Meio2
0;0.045314279;0.032197115
0;0.051505976;0.031464506
0;0.057827352;0.031830588
6;0.255297177;0.189330343
6;0.248462893;0.188098363
6;0.249968306;0.189330343
24;4.637459728;5.361194698
24;4.668259451;5.38073099
24;4.699376702;5.38073099
30;5.121323668;6.087924111
30;5.183239014;6.069877182
30;5.152201962;6.106025154
48;6.11829714;8.099917135
48;6.044498345;8.148288241
48;6.081307523;8.099917135
72;7.300060636;8.913727692
72;7.38729706;8.860210683
72;7.343552783;8.860210683
96;8.886921743;9.159365292
96;8.913727692;9.159365292
96;8.860210683;9.131674008
